ts_run,schedule_slot,target_draw_id,window_n,top3,top12,best_signal,best_a11,ok_alert,source_rows_hist_used,same_day_mid_present,mid_today_nums,debug_json,model_version
2026-04-04T20:16:48Z,16:00,LN|2026-04-04|NIGHT,120,"79,57,19","79,84,57,21,19,38,35,68,08,61,11,55",2.239921,4,1,120,1,"27,72,16","{'window_used': 120, 'regime': 'CONDITIONAL_EDGE', 'unique_numbers': 100, 'top5_avg': 1.935719, 'top12_avg': 1.678468, 'separation': 0.257251, 'mid_today': '27,72,16'}",LN-quiniela-v3-mid-night
2026-04-05T17:25:33Z,13:00,LN|2026-04-05|MID,120,"98,94,62","98,62,94,27,50,68,79,66,72,46,15,41",1.892614,3,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.665287, 'top12_avg': 1.462258, 'separation': 0.203028, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-05T20:18:55Z,16:00,LN|2026-04-05|NIGHT,120,"79,57,19","79,84,57,21,19,61,38,35,68,08,54,11",2.219921,4,1,120,1,"54,63,42","{'window_used': 120, 'regime': 'CONDITIONAL_EDGE', 'unique_numbers': 100, 'top5_avg': 1.927719, 'top12_avg': 1.687414, 'separation': 0.240306, 'mid_today': '54,63,42'}",LN-quiniela-v3-mid-night
2026-04-06T17:39:58Z,13:00,LN|2026-04-06|MID,120,"98,94,62","62,98,94,27,50,68,79,66,72,46,64,15",1.845734,4,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.650558, 'top12_avg': 1.448684, 'separation': 0.201875, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-06T20:29:48Z,16:00,LN|2026-04-06|NIGHT,120,"79,19,21","79,84,21,57,19,35,38,61,68,11,08,59",2.201617,4,1,120,1,"91,99,33","{'window_used': 120, 'regime': 'CONDITIONAL_EDGE', 'unique_numbers': 100, 'top5_avg': 1.907875, 'top12_avg': 1.67143, 'separation': 0.236445, 'mid_today': '91,99,33'}",LN-quiniela-v3-mid-night
2026-04-07T17:24:47Z,manual,LN|2026-04-07|MID,120,"98,94,62","62,98,94,27,99,50,72,79,66,68,64,41",1.825816,4,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.646007, 'top12_avg': 1.441401, 'separation': 0.204606, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-07T17:54:25Z,13:00,LN|2026-04-07|MID,120,"98,94,62","62,98,94,27,99,50,72,79,66,68,64,41",1.825816,4,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.646007, 'top12_avg': 1.441401, 'separation': 0.204606, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-07T20:33:25Z,16:00,LN|2026-04-07|NIGHT,120,"79,19,21","79,84,08,21,57,19,38,35,68,61,54,11",2.173509,3,1,120,1,"44,89,24","{'window_used': 120, 'regime': 'CONDITIONAL_EDGE', 'unique_numbers': 100, 'top5_avg': 1.924134, 'top12_avg': 1.68217, 'separation': 0.241964, 'mid_today': '44,89,24'}",LN-quiniela-v3-mid-night
2026-04-08T17:58:30Z,manual,LN|2026-04-08|MID,120,"98,94,62","98,62,94,27,99,72,50,79,66,68,64,41",1.783237,3,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.627859, 'top12_avg': 1.428514, 'separation': 0.199346, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-08T18:03:52Z,13:00,LN|2026-04-08|MID,120,"98,94,62","98,62,94,27,99,72,50,79,66,68,64,41",1.783237,3,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.627859, 'top12_avg': 1.428514, 'separation': 0.199346, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-08T20:30:21Z,16:00,LN|2026-04-08|NIGHT,120,"79,21,84","79,84,21,08,57,19,38,35,61,68,11,55",2.135636,4,1,120,1,"21,47,73","{'window_used': 120, 'regime': 'CONDITIONAL_EDGE', 'unique_numbers': 100, 'top5_avg': 1.908416, 'top12_avg': 1.665081, 'separation': 0.243335, 'mid_today': '21,47,73'}",LN-quiniela-v3-mid-night
2026-04-09T17:47:11Z,manual,LN|2026-04-09|MID,120,"98,94,62","98,62,94,27,99,72,50,79,68,64,66,41",1.761555,3,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.601771, 'top12_avg': 1.405835, 'separation': 0.195936, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-09T17:55:56Z,13:00,LN|2026-04-09|MID,120,"98,94,62","98,62,94,27,99,72,50,79,68,64,66,41",1.761555,3,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.601771, 'top12_avg': 1.405835, 'separation': 0.195936, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-09T20:38:23Z,16:00,LN|2026-04-09|NIGHT,120,"79,84,19","84,79,08,21,57,19,35,38,11,68,61,55",2.068506,5,1,120,1,"12,93,33","{'window_used': 120, 'regime': 'CONDITIONAL_EDGE', 'unique_numbers': 100, 'top5_avg': 1.860188, 'top12_avg': 1.639524, 'separation': 0.220664, 'mid_today': '12,93,33'}",LN-quiniela-v3-mid-night
2026-04-10T17:42:59Z,13:00,LN|2026-04-10|MID,120,"98,94,62","98,62,94,27,33,99,72,50,79,68,64,41",1.720012,3,1,120,0,,"{'window_used': 120, 'regime': 'MIXED', 'unique_numbers': 100, 'top5_avg': 1.579199, 'top12_avg': 1.40308, 'separation': 0.176119, 'mid_today': ''}",LN-quiniela-v3-mid-night
2026-04-10T20:23:09Z,16:00,LN|2026-04-10|NIGHT,120,"79,84,08","79,84,08,21,19,57,38,35,11,68,61,59",2.092709,5,1,120,1,"09,29,48","{'window_used': 120, 'regime': 'CONDITIONAL_EDGE', 'unique_numbers': 100, 'top5_avg': 1.884494, 'top12_avg': 1.634494, 'separation': 0.25, 'mid_today': '09,29,48'}",LN-quiniela-v3-mid-night
